model,threshold,N,prevalence,TP,FP,TN,FN,Se,Sp,PPV,NPV,F1,Acc,Youden,Pred_Pos_Rate,TP_per1000,FP_per1000,TN_per1000,FN_per1000
TAB_sigmoid,0.05,879,0.2753128555176337,241,627,10,1,0.9958677685950413,0.015698587127158554,0.27764976958525345,0.9090909090909091,0.43423423423423424,0.285551763367463,0.011566355722199884,0.987485779294653,274.17519908987487,713.3105802047781,11.376564277588168,1.1376564277588168
LR_sigmoid,0.05,879,0.2753128555176337,242,637,0,0,1.0,0.0,0.2753128555176337,,0.431757359500446,0.2753128555176337,0.0,1.0,275.3128555176337,724.6871444823663,0.0,0.0
TAB_sigmoid,0.1,879,0.2753128555176337,227,526,111,15,0.9380165289256198,0.17425431711145997,0.301460823373174,0.8809523809523809,0.4562814070351759,0.3845278725824801,0.11227084603707982,0.856655290102389,258.2480091012514,598.4072810011377,126.27986348122866,17.064846416382252
LR_sigmoid,0.1,879,0.2753128555176337,239,592,45,3,0.987603305785124,0.0706436420722135,0.28760529482551145,0.9375,0.44547996272134205,0.323094425483504,0.05824694785733753,0.9453924914675768,271.8998862343572,673.4926052332196,51.19453924914676,3.4129692832764507
TAB_sigmoid,0.2,879,0.2753128555176337,188,293,344,54,0.7768595041322314,0.5400313971742543,0.3908523908523909,0.864321608040201,0.5200553250345782,0.6052332195676906,0.3168909013064858,0.5472127417519909,213.87940841865756,333.3333333333333,391.353811149033,61.43344709897611
LR_sigmoid,0.2,879,0.2753128555176337,193,284,353,49,0.7975206611570248,0.554160125588697,0.40461215932914046,0.8781094527363185,0.5368567454798331,0.621160409556314,0.3516807867457219,0.5426621160409556,219.56769055745164,323.094425483504,401.5927189988623,55.745164960182024
TAB_sigmoid,0.3,879,0.2753128555176337,149,140,497,93,0.6157024793388429,0.7802197802197802,0.5155709342560554,0.8423728813559322,0.5612052730696798,0.7349260523321957,0.39592225955862315,0.32878270762229805,169.5108077360637,159.27189988623437,565.415244596132,105.80204778156997
LR_sigmoid,0.3,879,0.2753128555176337,138,122,515,104,0.5702479338842975,0.8084772370486656,0.5307692307692308,0.8319870759289176,0.549800796812749,0.7428896473265074,0.3787251709329631,0.29579067121729236,156.9965870307167,138.79408418657565,585.8930602957906,118.31626848691695
TAB_sigmoid,0.38,879,0.2753128555176337,123,80,557,119,0.5082644628099173,0.8744113029827315,0.6059113300492611,0.8239644970414202,0.5528089887640449,0.7736063708759955,0.3826757657926487,0.23094425483503983,139.93174061433447,91.01251422070534,633.6746302616609,135.3811149032992
LR_sigmoid,0.38,879,0.2753128555176337,111,74,563,131,0.45867768595041325,0.8838304552590267,0.6,0.8112391930835735,0.5199063231850117,0.7667804323094426,0.34250814120943995,0.21046643913538113,126.27986348122866,84.18657565415245,640.5005688282139,149.032992036405
TAB_sigmoid,0.4,879,0.2753128555176337,118,76,561,124,0.48760330578512395,0.880690737833595,0.6082474226804123,0.8189781021897811,0.5412844036697247,0.7724687144482366,0.368294043618719,0.22070534698521047,134.2434584755404,86.46188850967008,638.2252559726962,141.06939704209327
LR_sigmoid,0.4,879,0.2753128555176337,106,62,575,136,0.4380165289256198,0.902668759811617,0.6309523809523809,0.8087201125175809,0.5170731707317073,0.7747440273037542,0.3406852887372369,0.19112627986348124,120.59158134243458,70.53469852104664,654.1524459613197,154.72127417519908
