pt,treat_none,treat_all,LR sigmoid,XGB isotonic,TAB sigmoid,TAB_minus_LR
0.05,0.0,0.23717142686066703,0.23717142686066703,0.2364529070115562,0.2366325369738339,-0.0005388898868331216
0.055,0.0,0.23313529684405682,0.23313529684405682,0.2325273428800164,0.23198560172394075,-0.0011496951201160621
0.060000000000000005,0.0,0.22905622927407837,0.22920146200953695,0.22900781836225886,0.2286689419795222,-0.0005325200300147492
0.065,0.0,0.2249335353129772,0.22509171214250517,0.22514038193620606,0.22460501420549606,-0.00048669793700911734
0.07,0.0,0.22076651130928351,0.22102340147039035,0.22134145595557023,0.22146378460371635,0.00044038313332600554
0.07500000000000001,0.0,0.21655443839744182,0.21683116563662638,0.2176305998831596,0.217169387817852,0.000338222181225617
0.08,0.0,0.21229658208438443,0.21165355888608597,0.21452243161695603,0.20838897957164765,-0.003264579314438326
0.085,0.0,0.20799219182255047,0.2080170586297146,0.20973286832403937,0.2024779773339053,-0.005539081295809295
0.09,0.0,0.2036405005688282,0.2049781845003688,0.20642838390278664,0.19943992298941107,-0.005538261510957737
0.095,0.0,0.199240724328877,0.2000075424735542,0.2020942934902168,0.1959157505703996,-0.004091791903154618
0.1,0.0,0.19479206168625962,0.19706737454177728,0.19858424977878902,0.1917583112122361,-0.005309063329541175
0.10500000000000001,0.0,0.19029369331579182,0.19274696360134994,0.19461551661677504,0.1892450156030532,-0.0035019479982967283
0.11,0.0,0.1857447814804873,0.19002697140519745,0.19088340939013948,0.18624330508366246,-0.003783666321534984
0.115,0.0,0.18114446951145047,0.1820828753784154,0.18743050333262634,0.1829441519960407,0.0008612766176253062
0.12000000000000001,0.0,0.17649188127003826,0.1777846726652187,0.181145930292688,0.17990485055331468,0.0021201778880959865
0.125,0.0,0.17178612059158135,0.17438647814074432,0.17682431334308468,0.17568665691532587,0.0013001787745815507
0.13,0.0,0.16702627070992376,0.1732506897859375,0.1739960508937795,0.17390451531913223,0.0006538255331947351
0.135,0.0,0.16221139366200424,0.1680114686289596,0.17241742126825674,0.17013553236402373,0.00212406373506413
0.14,0.0,0.15734052967166706,0.16157366986797894,0.16871709394925521,0.16707675212318435,0.005503082255205405
0.14500000000000002,0.0,0.15241269651185224,0.15601860168053808,0.1617468015887272,0.16414186775242998,0.0081232660718919
0.15000000000000002,0.0,0.14742688884427488,0.15365053871377898,0.15907113698721806,0.15933882085257312,0.005688282138794132
0.155,0.0,0.14238207753566115,0.14885123627575714,0.15103230540353146,0.15482898129262007,0.005977745016862934
0.16,0.0,0.13727720894956388,0.1469743756433176,0.14789533560864618,0.15336692128501,0.006392545641692393
0.165,0.0,0.13211120421273492,0.1453747794513362,0.14399869203572374,0.14911473980366913,0.0037399603523329272
0.16999999999999998,0.0,0.12688295845498035,0.1448250339240923,0.13954795290376526,0.14662061214139838,0.001795578217306082
0.175,0.0,0.12159134002137414,0.1397248939911056,0.1356913848381425,0.14493053400903227,0.0052056400179266715
0.18,0.0,0.11623518965565083,0.13798940037181942,0.13199589333777295,0.14084741530009157,0.0028580149282721456
0.185,0.0,0.11081331965353822,0.14143233038101022,0.12846444300201706,0.1372934944198999,-0.00413883596111031
0.19,0.0,0.10532451298473294,0.14146266099242966,0.12456635626904873,0.13650472618997458,-0.004957934802455072
0.195,0.0,0.09976752238215361,0.14058183000162522,0.11890276217327707,0.13489354786283114,-0.005688282138794076
0.2,0.0,0.09414106939704209,0.13879408418657566,0.11433447098976109,0.13054607508532423,-0.008248009101251425
0.20500000000000002,0.0,0.08844384341840708,0.1398101043924986,0.11225592261074262,0.12653029099677304,-0.013279813395725565
0.21000000000000002,0.0,0.08267450065523246,0.14101179418499157,0.10941662706470241,0.1275327256231909,-0.013479068561800672
0.21500000000000002,0.0,0.07683166307978809,0.14157663239204943,0.10822953124207443,0.12499728266776806,-0.016579349724281364
0.22000000000000003,0.0,0.07091391733029953,0.1412444211079023,0.10740643505148623,0.12426708672442459,-0.01697733438347772
0.22500000000000003,0.0,0.06491981357114016,0.13758303056992915,0.10690300561488494,0.1246651253257,-0.012917905244229158
0.22999999999999998,0.0,0.05884786430861516,0.13422868371673832,0.10763411787302571,0.12344310979123266,-0.010785573925505665
0.235,0.0,0.052696543160305476,0.13410218087993636,0.10785429074929176,0.11975878709466345,-0.014343393785272912
0.24,0.0,0.04646428357583379,0.13112987246272678,0.10699958086342136,0.12071133465061973,-0.010418537812107054
0.245,0.0,0.040149477506799564,0.12710108567080292,0.10330071047020621,0.11848955390306565,-0.008611531767737268
0.25,0.0,0.033750474023511556,0.12135001896094047,0.10238907849829353,0.11869548729616991,-0.0026545316647705597
0.255,0.0,0.027265577876018354,0.11609440257766986,0.10432843912011057,0.11486512281344724,-0.0012292797642226155
0.26,0.0,0.020693047996802216,0.1174860867693632,0.10057497770808352,0.1142268548411893,-0.0032592319281739
0.265,0.0,0.01403109594235874,0.11712443794355057,0.09814028000278609,0.11138198168914892,-0.0057424562544016455
0.27,0.0,0.007277884270731005,0.11537082924244549,0.09498651955054777,0.1077968426138046,-0.007573986628640894
0.275,0.0,0.00043152485190850465,0.11576634890745753,0.09705386214742456,0.1078419834451375,-0.007924365462320032
0.28,0.0,-0.0065099228921755015,0.11275439261787384,0.09410946782960433,0.10757173555808368,-0.005182657059790166
0.28500000000000003,0.0,-0.01354845382149139,0.11010604867260156,0.09374925415881047,0.1051337740757536,-0.004972274596847959
0.29,0.0,-0.02068611898924838,0.10501690461311669,0.09054783765162076,0.10161995865980869,-0.0033969459533080004
